amenity,count
AEG stainless steel single oven,7
"40"" HDTV with standard cable",7
"43"" TV with Chromecast",7
Free carport on premises – 1 space,7
LG refrigerator,7
Exercise equipment: stationary bike,7
Private hot tub - available all year,7
Fast wifi – 55 Mbps,7
Indesit stainless steel electric stove,7
Shared pool,7
TV with Apple TV,7
Paid parking lot on premises – 4 spaces,7
"32"" TV with standard cable",7
AEG gas stove,6
Gym nearby,6
Prija shampoo,6
Children’s books and toys for ages 5-10 years old and 10+ years old,6
"HDTV with Amazon Prime Video, Netflix",6
Wifi – 46 Mbps,6
Private pool,6
Fast wifi – 74 Mbps,6
"43"" HDTV with standard cable, Netflix",6
Nivea conditioner,6
Fast wifi – 143 Mbps,6
Wifi – 34 Mbps,6
Sonstiges electric stove,6
Paid parking garage on premises – 52 spaces,6
Double oven,6
AEG stainless steel induction stove,6
"HDTV with standard cable, Netflix",6
Miele electric stove,6
Wifi – 21 Mbps,6
"60"" HDTV",6
ICON 2 in 1 (shampoo + shower gel) shampoo,6
Fast wifi – 145 Mbps,6
Fast wifi – 93 Mbps,6
BBQ grill: electric,6
Whirlpool refrigerator,6
ICON body soap,6
Philco stainless steel oven,6
Game console: PS3,6
Shared hot tub - available all year,6
Candy refrigerator,6
Indoor fireplace: gas,6
"40"" HDTV with Netflix, standard cable",6
Bosch single oven,6
Wifi – 24 Mbps,6
Electrolux gas stove,6
L'occitane conditioner,6
DM conditioner,6
"58"" HDTV",6
Indesit stainless steel oven,6
Bosch stainless steel single oven,6
Fast wifi – 73 Mbps,6
"Coffee maker: espresso machine, pour-over coffee",5
Nivea shampoo,5
Fast wifi – 78 Mbps,5
"HDTV with standard cable, Netflix, premium cable",5
Bosch stove,5
"55"" TV with standard cable",5
Wifi – 28 Mbps,5
Other stainless steel induction stove,5
Wifi – 29 Mbps,5
"Shared BBQ grill: charcoal, wood-burning",5
"Clothing storage: walk-in closet, wardrobe, and dresser",5
Folding or convertible high chair,5
Paid parking lot on premises – 6 spaces,5
"65"" HDTV",5
"32"" HDTV with premium cable, standard cable",5
"HDTV with Chromecast, Netflix",5
Amica electric stove,5
Whirlpool  refrigerator,5
IKEA refrigerator,5
Palmolive body soap,5
Midea refrigerator,5
Fast wifi – 60 Mbps,5
Wifi – 40 Mbps,5
Hockey rink,5
Indoor fireplace: ethanol,5
Fast wifi – 75 Mbps,5
Ikea induction stove,5
"HDTV with Netflix, premium cable, standard cable",5
Wifi – 27 Mbps,5
Fast wifi – 54 Mbps,5
Private BBQ grill: electric,5
Schauma shampoo,5
Private outdoor kitchen,5
Wifi – 37 Mbps,5
Ski-in/Ski-out,5
"HDTV with Apple TV, Netflix",5
Bosch stainless steel oven,5
Resort view,5
Fast wifi – 62 Mbps,5
Electrolux stainless steel oven,5
Wifi – 15 Mbps,5
Clamp on table seat high chair - available upon request,5
Paid parking on premises – 1 space,5
Game console: Xbox One,5
"45"" HDTV with Netflix",4
BBQ grill: gas,4
"58"" HDTV with Netflix",4
Siemens single oven,4
Botanicus body soap,4
Electrolux stainless steel gas stove,4
"32"" HDTV with Netflix, premium cable",4
Wifi – 10 Mbps,4
"43"" HDTV with Chromecast, Netflix",4
"45"" HDTV",4
"32"" HDTV with HBO Max, Netflix",4
Fast wifi – 66 Mbps,4
Various conditioner,4
Various body soap,4
AEG stainless steel oven,4
"40"" TV with standard cable",4
"50"" HDTV with standard cable",4
Whirlpool oven,4
Jiné gas stove,4
Exercise equipment: treadmill,4
"Coffee maker: espresso machine, french press, Nespresso",4
IKEA electric stove,4
Fast wifi – 80 Mbps,4
TV with premium cable,4
"TV with standard cable, DVD player, Netflix",4
"31"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix, Roku, standard cable",4
Basic body soap,4
"80"" HDTV with Netflix, standard cable",4
Mora gas stove,4
Fast wifi – 146 Mbps,4
TV with Chromecast,4
Paid parking lot on premises – 10 spaces,4
Children’s books and toys for ages 5-10 years old,4
IKEA induction stove,4
Fast wifi – 273 Mbps,4
"40"" HDTV with Chromecast",4
"Exercise equipment: free weights, stationary bike, yoga mat",4
Prija body soap,4
Garnier shampoo,4
Mini golf,4
Fast wifi – 94 Mbps,4
Beko stainless steel single oven,4
Bohéme Collection conditioner,4
Bohéme Collection body soap,4
Fast wifi – 149 Mbps,4
Fast wifi – 241 Mbps,4
"50"" HDTV with HBO Max, Netflix",4
Fast wifi – 150 Mbps,4
Wifi – 23 Mbps,4
"Coffee maker: drip coffee maker, french press, pour-over coffee",4
Life size games,4
"55"" TV with Netflix, standard cable",4
Fast wifi – 92 Mbps,4
"HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, standard cable",4
Sonos Bluetooth sound system,4
Fast wifi – 247 Mbps,4
"49"" HDTV",4
Fast wifi – 250 Mbps,4
"48"" HDTV with Netflix",4
"40"" HDTV with HBO Max, Netflix",4
Gym in building,4
Siemens oven,4
Beko electric stove,4
Isana body soap,4
Garnier conditioner,4
Outdoor kitchen with sink,4
Booster seat high chair - always at the listing,4
Free parking on premises – 2 spaces,4
Shared outdoor kitchen,4
Shared BBQ grill: electric,4
Fast wifi – 148 Mbps,4
"58"" HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix",4
Vineyard view,4
Bosch gas stove,4
Bosh refrigerator,4
Другое induction stove,3
Marshall Bluetooth sound system,3
Beach access – Beachfront,3
"43"" TV with Netflix",3
Fast wifi – 132 Mbps,3
"Coffee maker: Keurig coffee machine, Nespresso",3
Indesit refrigerator,3
"TV with HBO Max, Netflix",3
Concept refrigerator,3
Skate ramp,3
Whirlpool stainless steel oven,3
Amica refrigerator,3
Rituals shampoo,3
Mora induction stove,3
"41"" HDTV with standard cable",3
"43"" TV",3
"32"" HDTV with Chromecast, Netflix, standard cable",3
Fast wifi – 69 Mbps,3
"52"" HDTV with Netflix",3
Elektrolux refrigerator,3
Wifi – 44 Mbps,3
"TV with standard cable, HBO Max, Netflix",3
Botanicus shampoo,3
Candy induction stove,3
"50"" HDTV with standard cable, Netflix",3
"Coffee maker: drip coffee maker, Nespresso, pour-over coffee",3
Wifi – 17 Mbps,3
"30"" HDTV",3
Bosch stainless steel gas stove,3
Guzzanti induction stove,3
Dove  body soap,3
"TV with premium cable, standard cable",3
"65"" HDTV with Netflix, standard cable",3
Sony sound system with aux,3
Paid valet parking on premises,3
Fast wifi – 58 Mbps,3
Gorenje stainless steel oven,3
Mora electric stove,3
Miele oven,3
Ikea Bluetooth sound system,3
Fast wifi – 147 Mbps,3
Fast wifi – 120 Mbps,3
JBL Bluetooth sound system,3
Fast wifi – 286 Mbps,3
Bose Bluetooth sound system,3
Electrolux single oven,3
Siemens electric stove,3
Schauma conditioner,3
Schauma body soap,3
Fast wifi – 91 Mbps,3
Ariston gas stove,3
"32"" HDTV with Disney+, standard cable",3
Hisense refrigerator,3
Various shampoo,3
Fast wifi – 87 Mbps,3
"Coffee maker: espresso machine, french press, pour-over coffee",3
Whirlpool stainless steel single oven,3
"55"" HDTV with Apple TV, Netflix",3
"43"" HDTV with Apple TV",3
Fast wifi – 64 Mbps,3
"Coffee maker: drip coffee maker, espresso machine, french press",3
"BBQ grill: charcoal, wood-burning",3
"40"" HDTV with Chromecast, Netflix, standard cable",3
Ikea stainless steel oven,3
Harman Kardon Bluetooth sound system,3
"Private hot tub - available all year, open specific hours",3
Sonos sound system,3
Fast wifi – 242 Mbps,3
Fast wifi – 172 Mbps,3
Fast wifi – 86 Mbps,3
Fast wifi – 319 Mbps,3
Paid valet parking on premises – 1 space,3
IKEA stainless steel single oven,3
Fast wifi – 224 Mbps,3
"35"" HDTV with Netflix",3
Fast wifi – 90 Mbps,3
"100"" HDTV with Netflix",3
Fast wifi – 271 Mbps,3
Wifi – 18 Mbps,3
"42"" HDTV with Netflix, standard cable",3
Other stainless steel electric stove,3
Wifi – 16 Mbps,3
"37"" HDTV with Netflix",3
"55"" HDTV with Amazon Prime Video, Netflix",3
Zanussi electric stove,3
Samsung Bluetooth sound system,3
"32"" HDTV with Amazon Prime Video, Netflix",3
Fast wifi – 67 Mbps,3
Free driveway parking on premises – 3 spaces,3
Marshall sound system with Bluetooth and aux,3
"80"" HDTV with standard cable",3
Fast wifi – 290 Mbps,3
Bohéme Collection shampoo,3
Samsung  refrigerator,3
"Shared hot tub - available all year, open specific hours",3
Elseve conditioner,3
Sony sound system,3
AEG single oven,3
"HDTV with Amazon Prime Video, Chromecast, Netflix, standard cable",3
"50"" HDTV with Amazon Prime Video, Netflix, standard cable",3
Fa body soap,3
Sonstiges gas stove,3
"HDTV with Netflix, premium cable",3
"40"" HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix, standard cable",3
Free driveway parking on premises – 4 spaces,3
Bosch oven,3
Ikea stainless steel single oven,3
Fast wifi – 59 Mbps,3
BeauFort body soap,3
"24"" HDTV with Netflix",3
Fast wifi – 329 Mbps,3
Wifi – 8 Mbps,3
"60"" HDTV with standard cable",3
BeauFort shampoo,3
Paid parking garage on premises – 10 spaces,3
Fast wifi – 141 Mbps,3
Other stainless steel gas stove,3
Siemens stainless steel gas stove,3
Fast wifi – 246 Mbps,3
Alda shampoo,3
Mora oven,3
"40"" TV with Fire TV, Netflix",3
"20"" HDTV",3
High chair - always at the listing,3
Fast wifi – 244 Mbps,3
Indesit electric stove,3
Fast wifi – 53 Mbps,3
"TV with standard cable, premium cable",2
"50"" HDTV with premium cable",2
"Exercise equipment: elliptical, yoga mat",2
Fast wifi – 119 Mbps,2
"TV with Netflix, HBO Max",2
"HDTV with Chromecast, standard cable",2
Kallos shampoo,2
"Housekeeping available from 11:00 AM to 3:00 PM, every day - available at extra cost",2
Hyundai refrigerator,2
AEG oven,2
Panasonic sound system with aux,2
Wifi – 49 Mbps,2
Golf course view,2
"19"" TV",2
Fast wifi – 210 Mbps,2
Fast wifi – 315 Mbps,2
Kluge refrigerator,2
Alda body soap,2
Bosch stainless steel electric stove,2
Gorenje electric stove,2
Kallos conditioner,2
All brands are the same body soap,2
Fast wifi – 186 Mbps,2
Free driveway parking on premises – 10 spaces,2
Electrolux  oven,2
Wifi – 13 Mbps,2
"Coffee maker: drip coffee maker, espresso machine, Nespresso",2
Paid parking lot on premises – 50 spaces,2
LG electric stove,2
Indigo stainless steel electric stove,2
"HDTV with premium cable, Netflix, standard cable",2
"42"" TV with standard cable",2
"40"" HDTV with premium cable, standard cable",2
"50"" HDTV with Netflix, premium cable, standard cable",2
Siemens stainless steel induction stove,2
"43"" HDTV with premium cable",2
"TV with Netflix, Apple TV",2
Fast wifi – 153 Mbps,2
Whirpool oven,2
HEAD&SHOULDERS conditioner,2
HEAD&SHOULDERS shampoo,2
Fast wifi – 216 Mbps,2
Samsung induction stove,2
"Coffee maker: espresso machine, Nespresso, pour-over coffee",2
Booster seat high chair - available upon request,2
Fast wifi – 277 Mbps,2
"55"" HDTV with Chromecast, HBO Max, Netflix",2
AEG stove,2
Diverse Marken body soap,2
"55"" HDTV with Netflix, premium cable, standard cable",2
Fast wifi – 97 Mbps,2
Douglas shampoo,2
Teka refrigerator,2
Teka electric stove,2
Douglas conditioner,2
"65"" HDTV with Chromecast, standard cable",2
"20"" HDTV with Netflix",2
"56"" HDTV with Netflix",2
Fast wifi – 81 Mbps,2
Public or shared beach access – Beachfront,2
"TV with Amazon Prime Video, Apple TV, Netflix",2
"40"" TV with Amazon Prime Video, Apple TV, HBO Max, Netflix",2
Fast wifi – 144 Mbps,2
L'Occitane body soap,2
Head & Shoulders conditioner,2
Jec refrigerator,2
Aqua di Colonia conditioner,2
Beko induction stove,2
Adidas body soap,2
Eta refrigerator,2
Elektrolux  refrigerator,2
Ikea  induction stove,2
"43"" HDTV with standard cable",2
PRIJA conditioner,2
PRIJA shampoo,2
PRIJA body soap,2
Fast wifi – 187 Mbps,2
Fast wifi – 166 Mbps,2
"44"" HDTV",2
Fast wifi – 562 Mbps,2
TV with DVD player,2
Другое electric stove,2
Fast wifi – 279 Mbps,2
Fast wifi – 361 Mbps,2
"TV with Netflix, Amazon Prime Video",2
Fast wifi – 264 Mbps,2
Fast wifi – 267 Mbps,2
Philco refrigerator,2
Fast wifi – 218 Mbps,2
Fast wifi – 307 Mbps,2
Gorenje  refrigerator,2
"HDTV with standard cable, DVD player",2
Smeg induction stove,2
Fast wifi – 284 Mbps,2
Fast wifi – 292 Mbps,2
Fast wifi – 269 Mbps,2
Fast wifi – 359 Mbps,2
Douglas body soap,2
Aeg refrigerator,2
"53"" HDTV",2
Yves Rocher shampoo,2
Yves Rocher body soap,2
Frigidaire stainless steel gas stove,2
Fast wifi – 342 Mbps,2
Mora stainless steel single oven,2
No body soap,2
Private gym nearby,2
"40"" HDTV with Netflix, Chromecast, standard cable",2
Fast wifi – 71 Mbps,2
"Private outdoor pool - available all year, open 24 hours, infinity",2
Isana conditioner,2
Four Elements shampoo,2
Four Elements conditioner,2
Four Elements body soap,2
Paid parking lot on premises – 30 spaces,2
"44"" HDTV with Netflix",2
"40"" HDTV with premium cable, Netflix",2
Beko stainless steel electric stove,2
Whirlpool gas stove,2
"32"" HDTV with premium cable",2
Beko stainless steel oven,2
Fast wifi – 297 Mbps,2
"46"" HDTV",2
"50"" HDTV with Netflix, premium cable",2
Frigidaire gas stove,2
"43"" HDTV with Amazon Prime Video, Netflix",2
Paid parking lot on premises – 100 spaces,2
Batting cage,2
Paid crib,2
MORA single oven,2
Paid parking garage on premises – 2 spaces,2
Ikea single oven,2
"40"" TV with Apple TV, HBO Max, Netflix",2
Paid pack ’n play/travel crib - always at the listing,2
"Shared outdoor pool - available seasonally, open 24 hours",2
Siemens gas stove,2
SMEG oven,2
"43"" HDTV with Netflix, Amazon Prime Video",2
ETA electric stove,2
Fast wifi – 134 Mbps,2
Fast wifi – 237 Mbps,2
Fast wifi – 115 Mbps,2
Fagor oven,2
Whirlpool  electric stove,2
Shared pool - ,2
Beko stainless steel double oven,2
"21"" HDTV",2
"40"" HDTV with Amazon Prime Video, Disney+, Netflix, standard cable",2
Sony sound system with Bluetooth and aux,2
"31"" HDTV with Netflix",2
"HDTV with HBO Max, Netflix, standard cable",2
Housekeeping available every day - included with your stay,2
"HDTV with HBO Max, Netflix",2
BOSH refrigerator,2
BOSH stainless steel induction stove,2
Panasonic conditioner,2
"65"" HDTV with Netflix, premium cable",2
Miele stainless steel oven,2
"38"" HDTV with Netflix",2
Concept electric stove,2
Fast wifi – 401 Mbps,2
Kluge single oven,2
"46"" HDTV with standard cable",2
"Coffee maker: drip coffee maker, french press, Nespresso",2
Samsung sound system,2
Fast wifi – 512 Mbps,2
Davines conditioner,2
"YAMAHA, HomePod & JBL sound system with Bluetooth and aux",2
Davines shampoo,2
"49"" HDTV with Netflix, standard cable",2
Aqua line shampoo,2
Paid parking on premises – 2 spaces,2
Free parking on premises – 3 spaces,2
"55"" HDTV with Chromecast",2
Fast wifi – 88 Mbps,2
Mora stainless steel oven,2
Beko single oven,2
"49"" TV",2
"55"" HDTV with Amazon Prime Video, Disney+, Netflix",2
SONOS sound system,2
"21"" TV",2
Pantene conditioner,2
Bose sound system with Bluetooth and aux,2
Fast wifi – 100 Mbps,2
Palmolive shampoo,2
"30"" HDTV with Netflix",2
Cien body soap,2
Fast wifi – 77 Mbps,2
"43"" HDTV with Chromecast, Netflix, standard cable",2
"TV with Netflix, standard cable",2
Kluge electric stove,2
Vittore DE Conti The Exclusive Collectio shampoo,2
Vittore DE Conti The Exclusive Collection conditioner,2
Fast wifi – 181 Mbps,2
Vittore DE Conti The Exclusive Collectio body soap,2
Alverde body soap,2
"55"" HDTV with Disney+, Netflix, standard cable",2
"52"" HDTV with standard cable",2
"HDTV with Netflix, HBO Max",2
Fast wifi – 65 Mbps,2
"75"" HDTV with Netflix",2
Head&Shoulder shampoo,2
"37"" HDTV with standard cable",2
Fast wifi – 270 Mbps,2
Philips refrigerator,2
Shared pool - available all year,2
"Housekeeping available 24 hours, every day - available at extra cost",2
Eco shampoo,2
Eco body soap,2
Fast wifi – 137 Mbps,2
Linteo body soap,2
Radox body soap,2
Home made body soap,2
Fast wifi – 175 Mbps,2
"51"" HDTV with Netflix",2
Jiné stainless steel electric stove,2
Zanussi induction stove,2
"HDTV with Netflix, Amazon Prime Video, standard cable",2
Fast wifi – 197 Mbps,2
Fast wifi – 201 Mbps,2
Beko gas stove,2
Lake view,2
"42"" HDTV with premium cable",2
ETA refrigerator,2
Fast wifi – 99 Mbps,2
Baumatic stainless steel oven,2
"Coffee maker: french press, pour-over coffee",2
Kluge induction stove,2
"43"" TV with standard cable",2
"32"" HDTV with standard cable, Netflix",2
"55"" TV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable",1
Bio body soap,1
HDTV with Amazon Prime Video,1
Shared outdoor pool - available all year,1
Americká Samsung refrigerator,1
"27"" TV with Disney+, Fire TV, HBO Max",1
Wella conditioner,1
